Estado / Canal,Ciudad,coordenadas,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
VERACRUZ                 ,ANGEL R. CABADA,"18.5962211,-95.4585928,14.54",1539,14379000,9626000,7464000,7402000,8941000,8909000,7729000,8505000,7686000,7537000,6314000,8269000
VERACRUZ                 ,CARLOS A CARRIL,"18.3919037,-95.7988067,12.75",1540,1638000,1346000,1002000,917000,988000,1086000,950000,1037000,942000,965000,873000,788000
PUEBLA                   ,SAN FRANCISCO T,"18.9666748,-98.1813484,17.62",1541,10944000,8341000,7318000,6456000,6715000,6680000,6290000,6977000,6294000,5858000,5307000,7946000
VERACRUZ                 ,POZA RICA      ,"20.5364702,-97.4881414,14.25",1542,13297000,8740000,7836000,7245000,8215000,7875000,6915000,8220000,7354000,6317000,0,0
JALISCO                  ,CD GUZMAN JAL  ,"19.7049137,-103.5419838,13",1543,15538000,9188000,7845000,6916000,7666000,7309000,6581000,7612000,6308000,5935000,5522000,5993000
SAN LUIS POTOSI          ,SAN LUIS POTOSI,"22.1422536,-100.9786705,13.67",1544,18671000,10673000,8731000,7982000,9053000,8870000,8324000,10621000,8302000,8692000,8139000,7679000
DISTRITO FEDERAL         ,CUAUHTEMOC     ,"19.4070074,-99.1918262,14",1545,11045000,9530000,6900000,7032000,7640000,6870000,6346000,7469000,6951000,6865000,5444000,7426000
COAHUILA                 ,CASTA#OS       ,"26.78484,-101.4316192,17",1546,2575000,2108000,1744000,1897000,1934000,1996000,1727000,1962000,1554000,1712000,1490000,1346000
HIDALGO                  ,TIZAYUCA       ,"19.8719144,-98.9596642,21",1547,16132000,10873000,8964000,9665000,10383000,9718000,9451000,10096000,9175000,9097000,8579000,10536000
ESTADO DE MEXICO         ,VALLE DE CHALCO,"19.2715389,-99.0127568,13",1548,8686000,6449000,5451000,5178000,6081000,5805000,5653000,5925000,5590000,5220000,5097000,6634000
GUANAJUATO               ,LEON           ,"21.0925207,-101.6660111,13.04",1549,6901000,4634000,4256000,3887000,4291000,4071000,3757000,4754000,4018000,3409000,3042000,4904000
BAJA CALIFORNIA NORTE    ,TIJUANA        ,"32.4467908,-116.9972423,13",1550,29256000,17897000,16291000,16369000,17766000,17882000,16729000,17311000,14340000,14838000,12906000,11985000
SAN LUIS POTOSI          ,SAN LUIS POTOSI,"22.1422536,-100.9786705,13.67",1551,45273000,31104000,25932000,25712000,27873000,27332000,25614000,28683000,24412000,23245000,21279000,20740000
TLAXCALA                 ,CONTLA DE JUAN ,"19.1733426,-98.2305863,17.54",1552,2200000,1772000,1615000,1464000,1784000,1460000,1272000,1295000,1601000,1340000,1392000,1489000
VERACRUZ                 ,CERRO AZUL     ,"21.1910441,-97.8145623,13",1553,6978000,2851000,2222000,2128000,2283000,2797000,2019000,2229000,2189000,1934000,1595000,1597000
PUEBLA                   ,AJALPAN        ,"18.3747649,-97.2579948,15.75",1554,12924000,11860000,10532000,9527000,9461000,10704000,8317000,9605000,8112000,8241000,8281000,10065000
OAXACA,PUERTO ESCONDIDO,"15.8670253,-97.0720912,17",1555,3827000,5635000,2766000,4089000,4713000,3906000,3971000,3259000,4243000,4691000,4919000,4578000
VERACRUZ                 ,ALAMO TEMAPACHE,"20.9079697,-98.0195677,10",1556,2005000,2503000,1154000,817000,1463000,1239000,1633000,1620000,1574000,2425000,1280000,1152000
PUEBLA                   ,ATLIXCO        ,"18.9052,-98.4391248,17",1557,2776000,3999000,1907000,1943000,1939000,1624000,1669000,1800000,1710000,1913000,1805000,1748000
MICHOACAN                ,ZITACUARO      ,"19.4963405,-100.5369038,11",1558,2684000,3139000,2218000,1870000,1932000,2327000,1849000,2039000,1667000,2688000,2101000,2125000
VERACRUZ                 ,POZA RICA      ,"20.5364702,-97.4881414,14.25",1559,1647000,1068000,768000,754000,859000,909000,700000,965000,865000,906000,965000,984000
OAXACA                   ,OAXACA         ,"17.059086,-96.7365818,17",1560,1948000,1525000,1437000,1344000,1687000,1323000,1138000,1188000,1368000,1386000,127000,0
PUEBLA                   ,TEHUACAN       ,"18.4573347,-97.4427162,14.25",1561,21666000,16728000,12994000,11851000,13018000,13452000,11522000,12838000,12047000,11557000,10328000,14466000
YUCATAN                  ,MERIDA         ,"20.9538954,-89.6480111,18.75",1562,12846000,7746000,6060000,5525000,6101000,5580000,5408000,6111000,4793000,5048000,4620000,5195000
HIDALGO                  ,ZACUALTIPAN    ,"20.6436903,-98.6554421,21",1563,9309000,7351000,5204000,1066000,0,0,0,0,0,0,0,0
PUEBLA                   ,ZACAPOAXTLA    ,"19.8772539,-97.6049998,14.75",1564,13904000,11449000,8756000,9185000,9739000,9747000,7684000,9820000,8855000,7735000,7188000,10106000
COAHUILA                 ,TORREON        ,"25.5358585,-103.3572306,17.5",1565,28045000,16255000,13749000,12677000,14313000,14756000,13515000,15781000,13466000,14003000,10963000,10929000
DISTRITO FEDERAL         ,GUSTAVO A MADER,"19.4808177,-99.1247035,13.75",1566,11360000,8800000,6709000,6879000,7500000,7290000,6245000,8304000,6643000,6538000,5595000,7321000
AGUASCALIENTES           ,AGUASCALIENTES ,"21.8872753,-102.2764389,14.5",1567,15416000,9451000,8373000,7265000,8317000,7857000,7724000,8272000,6886000,6467000,6148000,5799000
OAXACA                   ,SANTA LUCIA DEL,"17.049045,-96.6992747,18",1568,1683000,1522000,1441000,1404000,1315000,1425000,1324000,1582000,1274000,1368000,1128000,1348000
