Estado / Canal,Ciudad,coordenadas,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
CHIHUAHUA                ,CD JUAREZ      ,"31.7390805,-106.6298246,12",15,50612000,33852000,27367000,24830000,26913000,29797000,27891000,28283000,26712000,24351000,21560000,18578000
SINALOA                  ,CULIACAN       ,"24.8084179,-107.4003212,17.5",16,54774000,31854000,25127000,23145000,25571000,24785000,23280000,27140000,24207000,22068000,18115000,16860000
SINALOA                  ,CULIACAN       ,"24.8062124,-107.3982179,18.25",17,30009000,13998000,10266000,9812000,11010000,10524000,10918000,13824000,15537000,14139000,13066000,10828000
SINALOA                  ,CULIACAN       ,"24.8001665,-107.3989983,16.25",18,9870000,5972000,4686000,4414000,4645000,4284000,4335000,5155000,4265000,4805000,4070000,3540000
SINALOA                  ,CULIACAN       ,"24.7942375,-107.4158336,17.25",19,41301000,25055000,18477000,17959000,19315000,19977000,18835000,22606000,20126000,18598000,15395000,14475000
SINALOA                  ,NAVOLATO       ,"24.7673792,-107.6986205,18.75",20,41101000,23199000,17600000,15607000,18701000,19082000,17991000,19840000,19469000,17199000,15557000,13508000
SINALOA                  ,GUASAVE        ,"25.563623,-108.4678648,16.79",21,71575000,48773000,35543000,31428000,36435000,33723000,31292000,37252000,38270000,34436000,29055000,27724000
SINALOA                  ,GUAMUCHIL      ,"25.4600386,-108.093663,15.96",22,49490000,32028000,23881000,22182000,25585000,25240000,23320000,25665000,21643000,20727000,19658000,18511000
SONORA                   ,CD OBREGON     ,"27.4794962,-109.9605164,14.5",23,58180000,35470000,25683000,22697000,27466000,25327000,24804000,27061000,27194000,23576000,19926000,18564000
SINALOA                  ,CULIACAN       ,"24.815394,-107.370934,16.54",24,28279000,17747000,14841000,12922000,14299000,13735000,13424000,15732000,14599000,13354000,11729000,10832000
SONORA                   ,CD OBREGON     ,"27.4794962,-109.9605164,14.5",25,15635000,9685000,6912000,6158000,6977000,6548000,6512000,7550000,6722000,6289000,5785000,5398000
SINALOA                  ,CULIACAN       ,"24.8002156,-107.399269,16.25",26,21147000,12978000,11206000,10303000,10581000,10448000,10105000,11586000,10034000,9651000,8857000,8255000
SINALOA                  ,MAZATLAN       ,"23.2022185,-106.4213699,18.33",27,26284000,14553000,10498000,9838000,11926000,11234000,10670000,12113000,11099000,10552000,9302000,9438000
SONORA                   ,HERMOSILLO     ,"29.078335,-110.9548622,17.75",28,30072000,17867000,14865000,12976000,15382000,14187000,13034000,14917000,13589000,12101000,8394000,7948000
SINALOA                  ,LOS MOCHIS     ,"25.7934781,-108.9965683,18.29",29,43714000,30733000,22653000,19304000,18020000,13044000,11656000,12200000,12418000,10497000,9651000,8389000
SONORA                   ,HERMOSILLO     ,"29.0809226,-110.961262,16",30,32998000,20487000,16809000,14945000,17399000,15699000,15271000,17405000,15612000,15771000,12289000,10680000
SINALOA                  ,MAZATLAN       ,"23.2040897,-106.421742,18.83",31,29612000,15351000,10139000,10328000,12628000,10697000,10652000,12004000,11704000,10558000,8828000,8051000
BAJA CALIFORNIA NORTE    ,MEXICALI       ,"32.6591945,-115.5013476,14",32,32775000,19688000,15192000,14138000,16897000,16782000,17197000,18108000,15478000,16255000,13405000,12397000
NAYARIT                  ,TEPIC          ,"21.9504657,-105.1442999,20",33,61115000,34585000,29424000,28409000,33626000,29840000,29619000,32607000,29075000,30181000,26904000,26440000
SONORA                   ,GUAYMAS        ,"27.9253038,-110.9018642,15.5",34,33377000,19429000,14259000,12332000,14139000,13597000,13156000,15712000,14276000,12836000,11294000,10444000
DURANGO                  ,DURANGO        ,"24.0256984,-104.6673924,20.5",35,52502000,30972000,24481000,24160000,27397000,26500000,24963000,29263000,23976000,24248000,20849000,18843000
SONORA                   ,SAN LUIS RIO CO,"32.4836465,-114.8431866,13",36,32065000,19438000,16821000,14801000,16829000,17698000,16491000,18414000,16127000,16776000,14015000,13104000
NAYARIT                  ,TEPIC          ,"21.5159476,-104.8915279,20",37,27458000,19021000,16502000,15531000,18413000,16318000,14025000,15938000,14283000,14969000,12718000,13101000
SONORA                   ,NOGALES        ,"31.3007383,-111.0834074,12",38,32298000,21026000,16650000,14637000,17580000,16621000,15810000,17269000,16098000,15026000,12458000,11018000
COAHUILA                 ,TORREON        ,"25.5353735,-103.4667444,18.38",39,49066000,30019000,21977000,20389000,22932000,25306000,22180000,25337000,22118000,20598000,18024000,17780000
SONORA                   ,NAVOJOA        ,"27.0748895,-109.5260167,13",40,36823000,20345000,16876000,14473000,17155000,17250000,15805000,18231000,18354000,16078000,13348000,12367000
BAJA CALIFORNIA NORTE    ,MEXICALI       ,"32.6591945,-115.5013476,14",41,49343000,29593000,22695000,19915000,22943000,23240000,21872000,23369000,21679000,21774000,17622000,15035000
SINALOA                  ,MAZATLAN       ,"23.2447749,-106.4211913,18.17",42,44606000,28211000,21500000,19853000,23270000,22121000,20789000,23925000,22639000,19877000,18455000,17781000
SONORA                   ,CABORCA        ,"30.7121757,-113.3026886,9",43,48087000,27676000,23362000,19988000,23279000,23549000,22737000,25787000,24699000,21874000,17846000,16288000
SONORA                   ,HERMOSILLO     ,"29.0969021,-111.044266,13",44,40945000,26056000,22297000,20241000,21572000,20626000,19703000,21388000,20707000,20503000,17125000,15625000
DURANGO                  ,GOMEZ PALACIO  ,"25.5489033,-103.4433482,21",45,47745000,29614000,24033000,22995000,25988000,28414000,27383000,29871000,25001000,24746000,21637000,20572000
SONORA                   ,CD OBREGON     ,"27.4784161,-109.9389242,15",46,25042000,14805000,12117000,11477000,12317000,12072000,11930000,12790000,12140000,11567000,9030000,9957000
COAHUILA                 ,SALTILLO       ,"25.4346263,-101.0065264,18.5",47,40509000,26499000,20243000,19819000,20567000,21176000,20455000,25102000,19061000,19002000,16569000,16704000
ZACATECAS                ,FRESNILLO      ,"23.1849325,-102.8925896,13.5",48,37482000,28464000,22991000,24058000,26313000,25960000,25995000,26958000,23516000,23960000,21580000,21087000
CHIHUAHUA                ,CHIHUAHUA      ,"28.6920687,-106.26086,11.75",49,44110000,27974000,21276000,20096000,23297000,21638000,20510000,22607000,20169000,18071000,14920000,13038000
AGUASCALIENTES           ,AGUASCALIENTES ,"21.8841569,-102.314442,15",50,26451000,14129000,11407000,11067000,12636000,12457000,12154000,13321000,12296000,12242000,11077000,10083000
JALISCO                  ,PTO VALLARTA   ,"20.6128221,-105.4039365,11",51,48783000,31600000,25304000,25179000,29830000,27372000,24711000,27071000,22838000,21542000,19195000,21382000
COAHUILA                 ,MONCLOVA       ,"26.9018844,-101.4184523,18.79",52,44426000,27569000,21757000,21160000,24381000,25681000,26299000,32402000,25841000,25127000,19557000,18882000
JALISCO                  ,LAGOS DE MORENO,"21.359994,-102.0065275,12",53,34266000,23166000,19290000,18655000,20933000,20018000,19050000,20820000,16955000,18828000,16028000,17115000
MICHOACAN                ,MORELIA        ,"19.6836306,-101.2475639,13",54,33476000,28382000,22533000,21543000,25493000,24808000,20454000,26450000,21577000,21680000,20005000,26189000
SAN LUIS POTOSI          ,SAN LUIS POTOSI,"22.1559505,-100.9970003,14.67",55,51603000,31116000,25036000,23531000,28269000,25525000,24293000,29360000,24130000,22864000,21531000,21190000
NAYARIT                  ,SANTIAGO IXCUIN,"21.8077761,-105.2074977,19.25",56,38658000,26034000,18980000,18018000,20418000,19869000,17928000,21338000,19639000,20117000,19800000,19726000
SONORA                   ,GUAYMAS        ,"27.926474,-111.0639882,12",57,33874000,20807000,16206000,14504000,15579000,15423000,15128000,17007000,15780000,13706000,10969000,10935000
CHIHUAHUA                ,CHIHUAHUA      ,"28.6114348,-106.1667719,13.25",58,13328000,7861000,7032000,6151000,7271000,7417000,7183000,8274000,7011000,6695000,5628000,5382000
CHIHUAHUA                ,DELICIAS       ,"28.1824478,-105.5315994,12.92",59,27244000,18437000,15569000,14777000,17308000,17163000,15959000,16396000,15916000,14766000,12625000,11599000
AGUASCALIENTES           ,AGUASCALIENTES ,"21.8912162,-102.356925,13.25",60,17830000,11156000,8865000,9173000,10290000,9524000,9892000,10805000,10613000,10044000,9046000,8283000
JALISCO                  ,LA BARCA       ,"20.275764,-102.6309836,13",61,42389000,28727000,21864000,21410000,23998000,25584000,22737000,23365000,21144000,20472000,18239000,25258000
COAHUILA                 ,SALTILLO       ,"25.4245698,-101.0048727,18",62,32259000,20918000,15592000,15735000,16785000,16671000,16553000,18703000,14897000,14901000,12582000,11901000
COLIMA                   ,COLIMA         ,"19.2438822,-103.7396366,20",63,6738000,5499000,4024000,3525000,4509000,4392000,4081000,4663000,4105000,4074000,3097000,4346000
MICHOACAN                ,ZAMORA         ,"19.9864366,-102.3645506,13",64,22978000,19393000,15039000,13121000,15415000,14372000,13589000,15963000,13707000,14056000,13148000,17083000
AGUASCALIENTES           ,AGUASCALIENTES ,"21.8830642,-102.3096457,15.75",65,21864000,13257000,10108000,9662000,10702000,11376000,10946000,11609000,9721000,10319000,9159000,8813000
CHIHUAHUA                ,CD JUAREZ      ,"31.7160113,-106.5862226,12",66,26647000,15888000,13678000,12476000,13455000,12739000,13475000,14009000,12256000,11664000,9594000,8889000
COAHUILA                 ,TORREON        ,"25.5341459,-103.4078261,19.17",67,38980000,25929000,22018000,19804000,22972000,21960000,21272000,24231000,21525000,20472000,17150000,15832000
GUANAJUATO               ,LEON           ,"21.1157795,-101.7235249,13.29",68,27104000,19165000,14234000,14158000,14326000,14128000,13270000,16444000,13777000,13743000,12465000,17397000
QUERETARO                ,QUERETARO      ,"20.5881925,-100.3939328,20.25",69,52387000,37095000,35150000,33092000,36574000,35645000,32713000,36340000,32241000,31933000,27191000,36150000
GUANAJUATO               ,CELAYA         ,"20.5199303,-100.828029,15.25",70,56111000,43234000,37244000,34400000,41441000,38101000,36233000,40460000,34701000,35500000,32776000,41431000
DURANGO                  ,DURANGO        ,"24.0207202,-104.6682781,20",71,28471000,17157000,13243000,12238000,14394000,14719000,12940000,14461000,12364000,13259000,11422000,11216000
CHIHUAHUA                ,CHIHUAHUA      ,"28.6920687,-106.26086,11.75",72,31618000,20770000,18055000,16201000,18926000,17695000,17603000,19506000,17960000,16061000,12373000,12788000
SONORA                   ,NOGALES        ,"31.3007383,-111.0834074,12",73,27292000,17030000,13424000,12144000,14149000,14620000,13653000,14948000,13423000,12538000,11074000,9790000
ESTADO DE MEXICO         ,TOLUCA         ,"19.289432,-99.6719341,14.75",74,38074000,29670000,23869000,24149000,26197000,26487000,23868000,29256000,23372000,25047000,21918000,30729000
COLIMA                   ,COLIMA         ,"19.2402966,-103.7234002,20",75,36160000,19810000,17182000,14735000,19153000,17174000,16621000,17799000,16315000,16305000,13809000,16122000
SONORA                   ,EMPALME        ,"27.9631468,-110.8253339,15.46",76,24829000,15441000,12929000,11376000,12191000,12615000,11692000,13844000,12453000,11764000,10257000,10288000
SONORA                   ,HUATABAMPO     ,"26.824808,-109.6581481,15",77,32326000,19322000,13740000,13297000,15637000,15104000,13972000,15606000,15724000,13389000,11804000,10889000
CHIHUAHUA                ,CD JUAREZ      ,"31.7160113,-106.5862226,12",78,26719000,19201000,16160000,15606000,16860000,18056000,16585000,17555000,15691000,15756000,13714000,12842000
MICHOACAN                ,URUAPAN        ,"19.4151414,-102.1260422,13",79,37502000,31285000,25927000,24684000,28234000,28136000,26033000,27727000,24614000,24463000,22901000,27306000
MICHOACAN                ,MORELIA        ,"19.6988884,-101.2066411,14.75",80,28919000,23563000,19166000,17484000,19593000,19576000,18055000,21041000,17104000,17262000,16837000,21326000
PUEBLA                   ,PUEBLA         ,"19.059275,-98.2503802,13.25",81,18999000,12972000,11944000,10770000,12713000,11769000,9673000,11469000,9879000,9418000,7972000,11086000
PUEBLA                   ,PUEBLA         ,"19.059275,-98.2503802,13.25",82,12157000,8831000,7687000,7672000,8693000,8307000,7489000,8323000,7123000,7362000,6951000,8661000
PUEBLA                   ,PUEBLA         ,"19.0468509,-98.2130413,14.75",83,11068000,8623000,7489000,6419000,7553000,7107000,6189000,7502000,6412000,6133000,5672000,7841000
TAMAULIPAS               ,TAMPICO        ,"22.2145285,-97.856841,20",84,42003000,27533000,22104000,21253000,25187000,24753000,21863000,25512000,22319000,21894000,19060000,18406000
BAJA CALIFORNIA NORTE    ,TIJUANA        ,"32.5322785,-117.0688524,14",85,25877000,16520000,17651000,16147000,16877000,16572000,15224000,16789000,15167000,15529000,12858000,12305000
BAJA CALIFORNIA NORTE    ,TIJUANA        ,"32.5007634,-116.9946518,14",86,27636000,16618000,14227000,14306000,15575000,16355000,14170000,15793000,13613000,13410000,12221000,12645000
BAJA CALIFORNIA NORTE    ,ENSENADA       ,"31.8705011,-116.6255298,15",87,39033000,24146000,21005000,20679000,23870000,21701000,20514000,21968000,19635000,19733000,16953000,15626000
VERACRUZ                 ,CORDOBA        ,"18.8922885,-96.9424509,15.5",88,26121000,19950000,15967000,14720000,18422000,17892000,16735000,19290000,16516000,17729000,14847000,17874000
BAJA CALIFORNIA SUR      ,LA PAZ         ,"24.0899545,-110.4925263,11.42",89,40798000,22561000,17608000,15508000,18102000,17903000,16230000,17779000,16975000,16456000,13827000,12218000
CHIHUAHUA                ,CD CUAHTEMOC   ,"28.3993015,-107.1156945,11.25",90,25766000,13991000,9390000,8505000,10073000,9378000,11497000,12592000,10534000,9463000,7836000,7512000
SINALOA                  ,MAZATLAN       ,"23.2227444,-106.4205912,18.58",91,15461000,9227000,7701000,7539000,8923000,8033000,7659000,8909000,8523000,7746000,6970000,6846000
JALISCO                  ,GUADALAJARA    ,"20.6736532,-103.3598761,15.5",92,45397000,26545000,21953000,19013000,23844000,21952000,20019000,21968000,19201000,18709000,16957000,15089000
JALISCO                  ,ZAPOPAN        ,"20.6884005,-103.4730702,12.25",93,18717000,11133000,9695000,9372000,11543000,10510000,9565000,10937000,9628000,10173000,8593000,8425000
JALISCO                  ,GUADALAJARA    ,"20.6713355,-103.4680114,12",94,29069000,17113000,14260000,13233000,15530000,14762000,14079000,16034000,13919000,12976000,11931000,11643000
GUANAJUATO               ,IRAPUATO       ,"20.2568828,-102.8153801,9",95,38449000,27692000,22588000,19623000,23236000,21365000,19706000,24569000,20769000,19933000,18887000,23590000
JALISCO                  ,GUADALAJARA    ,"20.721235,-103.3256139,15.67",96,33901000,21651000,16912000,16578000,18540000,18166000,16287000,19448000,15367000,14782000,13709000,13869000
NUEVO LEON               ,SN NICOLAS DE L,"25.7499223,-100.3783212,12",97,33153000,20937000,17423000,16261000,18706000,19213000,17478000,20140000,16406000,15858000,13835000,12778000
NUEVO LEON               ,SANTA CATARINA ,"25.6721287,-100.4722763,12.5",98,34967000,23559000,17784000,17177000,18847000,20849000,19256000,22050000,18089000,17321000,15821000,13931000
NUEVO LEON               ,APODACA        ,"25.7822035,-100.3068924,13",99,33517000,21607000,17268000,17034000,18219000,19283000,17130000,20104000,18478000,16841000,14699000,13773000
BAJA CALIFORNIA NORTE    ,MEXICALI       ,"32.6215253,-115.5443394,14",100,29564000,18603000,16679000,15521000,17341000,16999000,17083000,18429000,17188000,17163000,13214000,12746000
TAMAULIPAS               ,TAMPICO        ,"22.2860167,-97.8719665,16",101,31052000,22059000,17156000,17128000,20575000,19452000,17667000,20812000,18773000,17209000,15101000,15039000
ZACATECAS                ,ZACATECAS      ,"22.7753391,-102.5784018,13.75",102,32348000,21761000,18935000,18360000,21147000,20054000,18611000,20782000,18809000,19697000,17297000,17186000
QUERETARO                ,QUERETARO      ,"20.6161484,-100.4057029,20",103,11990000,9024000,9267000,7918000,8634000,8725000,8058000,9221000,8224000,8528000,7512000,10614000
COAHUILA                 ,SALTILLO       ,"25.3918383,-101.0033144,18.17",104,45970000,30582000,23644000,22117000,25121000,25948000,23721000,26853000,22701000,21966000,20658000,19630000
DURANGO                  ,GOMEZ PALACIO  ,"25.5537148,-103.506875,20",105,20859000,14331000,12205000,11649000,12847000,13421000,12577000,13262000,12061000,11175000,9728000,9896000
BAJA CALIFORNIA NORTE    ,TIJUANA        ,"32.4955995,-116.9696665,15.25",106,38380000,25247000,22670000,23357000,25850000,25813000,21971000,24462000,21511000,23158000,20791000,18707000
BAJA CALIFORNIA NORTE    ,TIJUANA        ,"32.5133536,-116.8775985,16",107,31774000,21083000,19209000,18326000,20524000,20322000,18769000,19886000,16787000,18067000,16384000,15177000
BAJA CALIFORNIA NORTE    ,TIJUANA        ,"32.4937657,-116.9548981,13.75",108,13743000,9159000,7566000,8078000,9204000,9332000,8280000,8537000,7633000,8100000,6783000,6727000
GUANAJUATO               ,LEON           ,"21.1009229,-101.7053699,13.04",109,26964000,21038000,17272000,16429000,18989000,19046000,17015000,22018000,17923000,18062000,16872000,23430000
CHIHUAHUA                ,CD JUAREZ      ,"31.6535313,-106.4865235,12.5",110,24214000,17530000,14678000,13128000,14818000,14287000,14915000,15773000,14323000,13154000,11404000,12142000
BAJA CALIFORNIA NORTE    ,TIJUANA        ,"32.4937657,-116.9548981,13.75",111,39822000,25377000,23115000,23041000,24071000,23355000,21715000,25189000,20640000,20652000,18605000,17167000
NUEVO LEON               ,GUADALUPE      ,"25.672379,-100.2843715,12.75",112,49349000,32219000,26526000,24765000,28637000,29019000,26381000,31085000,25251000,24581000,20992000,20479000
NUEVO LEON               ,SANTA CATARINA ,"25.6786427,-100.5389519,12",113,3681000,2568000,1907000,2022000,1900000,2467000,2056000,3210000,2370000,3297000,2770000,2502000
BAJA CALIFORNIA NORTE    ,MEXICALI       ,"32.58535,-115.5212989,12",114,36510000,24121000,22489000,22363000,24885000,23609000,23092000,24002000,22132000,23254000,19666000,17059000
SINALOA                  ,ESCUINAPA      ,"22.8348032,-105.7764866,18.33",115,32595000,18988000,15629000,14820000,16724000,16066000,14768000,16737000,14939000,13566000,12941000,12227000
CHIHUAHUA                ,CD JUAREZ      ,"31.6535313,-106.4865235,12.5",116,30413000,22345000,17011000,16218000,17630000,19582000,18284000,20388000,15957000,15596000,14103000,13100000
NUEVO LEON               ,MONTERREY      ,"25.6710138,-100.36248,13.5",117,24232000,15270000,12551000,11448000,13532000,14420000,12560000,14807000,12206000,12153000,10525000,9463000
PUEBLA                   ,SN MARTIN TEXME,"19.2884903,-98.4256417,18.25",118,25209000,19978000,16929000,14865000,17245000,16437000,15589000,20252000,17785000,18100000,17189000,21102000
BAJA CALIFORNIA NORTE    ,ENSENADA       ,"31.8660342,-116.6408855,15",119,56689000,33565000,29274000,29685000,34654000,34165000,31066000,32435000,27590000,27250000,22970000,23237000
GUANAJUATO               ,LEON           ,"21.0925207,-101.6660111,13.04",120,26590000,15337000,13592000,12245000,14334000,14356000,12860000,14771000,12209000,12121000,10296000,15360000
GUANAJUATO               ,LEON           ,"21.1157795,-101.7235249,13.29",121,19647000,14172000,11894000,10876000,12779000,11188000,10908000,13080000,11163000,10557000,9678000,13218000
SAN LUIS POTOSI          ,CD VALLES      ,"21.9842363,-99.0255378,15.75",122,59338000,37309000,30099000,29975000,35938000,33067000,30032000,34996000,31316000,30674000,26416000,25877000
NUEVO LEON               ,MONTERREY      ,"25.7167657,-100.3838361,13.75",123,19717000,13125000,12119000,10639000,12372000,12606000,11389000,13488000,10462000,10870000,9191000,8817000
NUEVO LEON               ,GENERAL ESCOBED,"25.7783855,-100.391447,13",124,44642000,29336000,24626000,24660000,26601000,28050000,24484000,29342000,24455000,23430000,19332000,19134000
NUEVO LEON               ,MONTERREY      ,"25.6703114,-100.3842003,13",125,38532000,26684000,22222000,19948000,21846000,23863000,21176000,24741000,19487000,19095000,17088000,15462000
NUEVO LEON               ,GUADALUPE      ,"25.7228462,-100.2920882,12.46",126,18423000,11995000,10651000,10562000,11489000,11220000,11027000,12235000,10427000,10435000,9582000,7881000
NUEVO LEON               ,GENERAL ESCOBED,"25.7784841,-100.5320263,12",127,41345000,29328000,23087000,22457000,24661000,25775000,24770000,28534000,23258000,22173000,19691000,19264000
SONORA                   ,NAVOJOA        ,"27.0748895,-109.5260167,13",128,41656000,22858000,18562000,16262000,19552000,18610000,18243000,20282000,20801000,17781000,15467000,14029000
TABASCO                  ,VILLAHERMOSA   ,"17.9886867,-92.9640861,18.83",129,20042000,12698000,10111000,9721000,11002000,10660000,9962000,11657000,9930000,10483000,10035000,9500000
TAMAULIPAS               ,REYNOSA        ,"26.0551305,-98.2941281,18.96",130,49548000,35337000,27861000,27903000,30075000,30043000,27747000,30590000,25681000,25269000,21080000,17795000
TAMAULIPAS               ,REYNOSA        ,"26.0754729,-98.3149854,20",131,29874000,19310000,17663000,16176000,18411000,17668000,17283000,17248000,15518000,16564000,13703000,12900000
TAMAULIPAS               ,NUEVO LAREDO   ,"27.4481768,-99.5182415,19",132,29266000,20516000,17968000,16812000,18607000,20592000,19170000,20956000,17512000,16474000,14546000,14057000
TAMAULIPAS               ,NUEVO LAREDO   ,"27.4617038,-99.5108032,20",133,30204000,21746000,19407000,18114000,21332000,21082000,18748000,20927000,17384000,18410000,15890000,14442000
PUEBLA                   ,TEHUACAN       ,"18.4609841,-97.4045699,15",134,23987000,19401000,16232000,15763000,18021000,20869000,17748000,19508000,18284000,18646000,15820000,19660000
COAHUILA                 ,TORREON        ,"25.5353735,-103.4667444,18.38",135,12636000,7289000,5963000,5934000,6188000,6987000,6331000,6577000,5623000,5819000,5092000,4924000
COAHUILA                 ,TORREON        ,"25.5073982,-103.4061242,16.5",136,26586000,17428000,16309000,15112000,16156000,16284000,16443000,17365000,16281000,13983000,12903000,12245000
DURANGO                  ,DURANGO        ,"24.0440415,-104.6302604,20",137,36235000,25218000,23048000,22264000,22999000,23409000,22543000,25625000,21629000,21985000,20410000,18512000
JALISCO                  ,ZAPOPAN        ,"20.7057237,-103.5505477,11.75",138,20512000,13591000,11379000,10835000,12504000,11221000,10788000,12415000,10623000,11129000,9894000,9719000
SONORA                   ,CD OBREGON     ,"27.4794962,-109.9605164,14.5",139,27793000,16753000,13862000,12731000,13809000,13246000,13461000,15179000,14730000,13649000,10735000,11247000
MORELOS                  ,CUERNAVACA     ,"18.9253034,-99.2382918,21",140,23565000,17255000,15388000,13639000,16188000,15590000,14030000,16506000,15354000,14810000,14518000,16856000
MICHOACAN                ,LAZARO CARDENAS,"17.9794227,-102.2749134,13",141,40998000,28173000,25396000,24068000,27828000,29716000,24801000,25463000,24831000,23772000,21507000,25241000
NUEVO LEON               ,MONTERREY      ,"25.6706311,-100.4123043,12.25",142,20643000,15127000,12925000,12380000,13134000,13549000,11886000,13716000,11011000,11296000,9885000,9067000
NUEVO LEON               ,GUADALUPE      ,"25.6778184,-100.2434167,15.5",143,18711000,11399000,11176000,10920000,11034000,11972000,11267000,12314000,9768000,9728000,8564000,8249000
NUEVO LEON               ,GUADALUPE      ,"25.672379,-100.2843715,12.75",144,23068000,15672000,13169000,11334000,13096000,13746000,12926000,14575000,12374000,11857000,10323000,9784000
VERACRUZ                 ,ORIZABA        ,"18.8481242,-97.1197677,14.75",145,49514000,40605000,31270000,30386000,33253000,31059000,28561000,32002000,27755000,27626000,25183000,30382000
NUEVO LEON               ,GUADALUPE      ,"25.7169413,-100.2619886,13.21",146,18733000,12293000,10719000,10509000,11078000,12137000,10893000,12867000,10255000,9910000,8965000,7545000
PUEBLA                   ,PUEBLA         ,"19.0000057,-98.3519445,12",147,36198000,26000000,21302000,20159000,22784000,22958000,19985000,23413000,20357000,19745000,19112000,24068000
CHIHUAHUA                ,CHIHUAHUA      ,"28.7378609,-106.4124024,11",148,14501000,8553000,8207000,7164000,8188000,7043000,7214000,7815000,6657000,6392000,5557000,5123000
NAYARIT                  ,TEPIC          ,"21.49643,-104.8838754,18.75",149,38692000,26920000,22881000,21972000,24037000,23857000,20696000,23130000,19813000,21056000,18857000,18658000
CHIHUAHUA                ,CD JUAREZ      ,"31.6535313,-106.4865235,12.5",150,22313000,15637000,13020000,11058000,12152000,13823000,13337000,13676000,11223000,10957000,9276000,9441000
VERACRUZ                 ,MINATITLAN     ,"17.9850992,-94.5468344,18.04",151,53449000,35966000,25495000,24876000,29079000,29850000,26188000,29776000,26155000,26228000,23496000,24458000
JALISCO                  ,GUADALAJARA    ,"20.6690622,-103.4510494,12.25",152,12141000,7986000,7327000,6275000,7641000,7235000,6597000,7906000,6558000,6501000,5739000,5311000
BAJA CALIFORNIA SUR      ,SAN JOSE DEL CA,"23.0657756,-109.7212176,14",153,21078000,9859000,8674000,8117000,10428000,9195000,7873000,8645000,7671000,8064000,7239000,6768000
COLIMA                   ,TECOMAN        ,"18.9117358,-103.8726525,20.75",154,37909000,26331000,23038000,18016000,22013000,21123000,18656000,20597000,17666000,19333000,16869000,17302000
JALISCO                  ,AMECA          ,"20.5972326,-104.1119015,12.75",155,38807000,23433000,18682000,18632000,19963000,20043000,18955000,20587000,17688000,18035000,16566000,17672000
NUEVO LEON               ,MONTERREY      ,"25.7140671,-100.4626265,12.25",156,53902000,34194000,27905000,25633000,29966000,30915000,27994000,32327000,26959000,26067000,22765000,21039000
CHIHUAHUA                ,PARRAL         ,"26.9325723,-105.6650713,19",157,30888000,15992000,14840000,13530000,15699000,16159000,15451000,16277000,15023000,14162000,11531000,11202000
CHIHUAHUA                ,CD JUAREZ      ,"31.6547712,-106.5231812,12.5",158,36152000,24809000,19613000,18136000,19848000,21838000,19772000,20950000,18108000,17309000,14297000,12865000
ESTADO DE MEXICO         ,CUAUTITLAN IZCA,"19.648616,-99.2275823,14",159,15332000,11544000,10298000,9743000,10117000,9526000,9014000,11213000,10428000,9527000,8765000,10804000
ESTADO DE MEXICO         ,NAUCALPAN      ,"19.4728222,-99.2813422,13.5",160,33057000,25092000,20325000,18078000,19447000,20122000,17622000,20284000,18368000,17456000,15153000,20248000
JALISCO                  ,TLAQUEPAQUE    ,"20.6090372,-103.9177036,10",161,13973000,9974000,8609000,8041000,9134000,8775000,8276000,8901000,7540000,8050000,7087000,7337000
TAMAULIPAS               ,MATAMOROS      ,"25.8646726,-97.4782105,20.25",162,38776000,24786000,21623000,21423000,23855000,24210000,21407000,24509000,22380000,21857000,19179000,16938000
PUEBLA                   ,PUEBLA         ,"19.0508157,-98.2352235,13.25",163,22593000,18549000,15665000,14558000,15849000,15568000,14318000,17553000,13578000,14218000,13246000,19087000
TABASCO                  ,COMALCALCO     ,"18.2634907,-93.2246359,20.25",164,48205000,36951000,28810000,27473000,30714000,30771000,27303000,29434000,26440000,28977000,27200000,26861000
MICHOACAN                ,APATZINGAN     ,"19.0853416,-102.3829724,14",165,41687000,33602000,26860000,27004000,30553000,32985000,29429000,38251000,34304000,34921000,32205000,38758000
TAMAULIPAS               ,TAMPICO        ,"22.2507276,-97.8658042,20.5",166,16650000,10216000,8720000,8543000,10581000,9538000,9157000,10287000,9120000,8740000,7853000,7981000
ESTADO DE MEXICO         ,TOLUCA         ,"19.2722985,-99.7487354,11",167,20381000,17071000,14105000,13810000,15424000,14764000,12545000,14935000,13043000,13481000,12203000,16474000
VERACRUZ                 ,VERACRUZ       ,"19.186643,-96.153777,14.5",168,35248000,21611000,18604000,16599000,20838000,19280000,18393000,19819000,17513000,16911000,16180000,16955000
TABASCO                  ,VILLAHERMOSA   ,"17.9918435,-92.9178185,18",169,35641000,24127000,20190000,19436000,23775000,22391000,19975000,22873000,21871000,22310000,19412000,19551000
GUANAJUATO               ,CELAYA         ,"20.5469525,-100.8825453,13",170,21818000,16275000,14447000,13971000,15823000,14882000,15201000,17068000,13980000,13980000,13069000,18387000
COAHUILA                 ,MONCLOVA       ,"26.9010297,-101.4409145,18.5",171,15787000,10016000,8146000,7003000,8612000,9256000,9440000,10317000,8723000,7524000,6840000,6212000
SONORA                   ,CD OBREGON     ,"27.4840006,-109.9788621,13",172,15116000,8847000,7135000,6800000,7524000,6814000,6828000,7726000,7801000,6622000,6211000,5993000
