Estado / Canal,Ciudad,latitud,longitud,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
QUERETARO                ,AMEALCO        ,19.6359945,-98.9175194,1504,23590.77,23588.96,28093.9173,24328.25,24328.25,23262.28,28093.9173,23943.45,24328.25,23759.23,23529.4,27560.5676
SINALOA                  ,COSTA RICA     ,25.7370451,-100.3755694,1505,23335.3945,23333.5845,23072.0445,18101.14,24525.0445,23006.9045,23072.0445,24332.6445,24525.0445,24281.0445,24051.3545,28166.01162
QUINTANA ROO             ,PLAYA DEL CARME,19.3610311,-99.2630133,1506,22992.59,22992.59,21539.59,22992.59,22992.59,22519.9,21539.59,22607.79,22604.66,22360.66,22130.97,25938.3656
DISTRITO FEDERAL         ,TLALPAN        ,23.1744809,-102.9220865,1507,26116.74,26114.93,30619.8873,26854.22,26392.52,25788.25,30619.8873,24751.82,24787.44,23106.29,22876.6,26803.2964
CHIHUAHUA                ,CAMARGO        ,22.9976953,-98.9397845,1508,10473.1445,10473.1445,9020.1445,4049.24,10473.1445,10230.1445,9020.1445,10516.3445,10130.1445,9886.1445,9886.1445,11467.92762
COLIMA                   ,COQUIMATLAN    ,18.666416,-96.9996523,1509,22904.9845,22903.1745,22641.6345,17670.73,24094.6345,22806.1845,22641.6345,23998.4345,24094.6345,23850.6345,23850.6345,27666.73602
PUEBLA                   ,ESPERANZA PUE  ,19.4920224,-98.5367153,1510,20586.67,21784.94,19133.67,20586.67,20586.67,21929.87,19133.67,20394.27,20586.67,20342.67,20342.67,23597.4972
PUEBLA                   ,TEZIUTLAN      ,26.9509201,-101.414984,1511,24903.32,24901.51,29406.4673,25640.8,25640.8,24804.52,29406.4673,25256,25640.8,25008.87,25008.87,29010.2892
ESTADO DE MEXICO         ,ECATEPEC DE MOR,23.4490735,-110.9101987,1512,10862.0445,10862.0445,9409.0445,4438.14,10862.0445,10275.0745,9409.0445,10765.8445,10359.8345,10115.8345,9886.1445,11734.36802
BAJA CALIFORNIA SUR      ,LA PAZ         ,19.4859825,-99.2859685,1513,10518.0745,10518.0745,9065.0745,4094.17,10518.0745,10275.0745,9065.0745,10421.8745,10130.1445,9886.1445,9886.1445,11467.92762
PUEBLA                   ,TETELA DE OCAM ,17.6720433,-97.5744693,1514,23336.17,23336.17,21883.17,21748.9,21748.9,22863.48,21883.17,21364.1,21748.9,21504.9,21275.21,24945.684
DISTRITO FEDERAL         ,CUAUHTEMOC     ,19.2006199,-96.262368,1515,24781.5145,24775.4145,23284.3045,18314.93,26098.8845,24256.9945,23284.3045,26431.0545,26611.2545,25447.5145,24905.6545,29156.99962
OAXACA                   ,SAN PEDRO POCHU,25.4544749,-108.0767007,1516,23657.84,23657.84,20862.64,22315.64,22619.39,23414.84,20862.64,23022.5,23407.3,23181.3,22956.3,26629.308
GUANAJUATO               ,APASEO EL ALTO ,25.5302089,-103.2292177,1517,12190.91,12190.91,10737.91,12118.01,9760.91,11718.22,10737.91,9472.31,9760.91,9128.98,8899.29,10589.6168
ESTADO DE MEXICO         ,ACOLMAN        ,32.58535,-115.5212989,1518,21474.85,21473.04,25977.9973,22664.5,22664.5,21032.08,25977.9973,18652.85,19067.27,18822.99,18416.25,21834.6684
NUEVO LEON               ,PESQUERIA      ,25.4434067,-102.1608473,1519,23974.3545,23938.8645,22485.8645,17518.01,25274.5245,23491.9245,22485.8645,25179.8445,24888.8145,24648.5645,24438.6545,28587.17282
DISTRITO FEDERAL         ,ALVARO OBREGON ,32.4836465,-114.8431866,1520,22038.84,22038.84,23014.84,23077.75,23077.61,21834.9,23014.84,22101.61,21713.68,19976.7,18872.74,22128.972
ZACATECAS                ,FRESNILLO      ,19.6178587,-99.1126443,1521,26349.6845,26349.6845,24621.2845,18305.78,26065.3445,25876.9945,24621.2845,26392.9445,26585.3445,25219.7645,24905.6545,29156.99962
TAMAULIPAS               ,XICOTENCATL    ,19.5793816,-99.2846596,1522,20349.36,20349.36,18896.36,20349.36,20349.36,19876.67,18896.36,20253.16,20349.36,20105.36,19875.67,23322.2176
VERACRUZ                 ,ZONGOLICA      ,19.4577814,-99.2360705,1523,22485.56,22485.56,21032.56,22485.56,22485.56,22012.87,21032.56,22813.16,22050.81,21770.63,21540.94,25253.9308
TLAXCALA                 ,NANACAMILPA    ,19.3653392,-99.1304328,1524,24226.07,24226.07,22773.07,24226.07,24226.07,23983.07,22773.07,23937.47,23838.14,23594.14,23594.14,27369.2024
COAHUILA                 ,MONCLOVA       ,19.4173929,-99.0562105,1525,34251.59,34251.59,34007.59,34007.59,34007.59,33778.9,34007.59,34007.59,23153.59,22765.66,22535.97,42151.6856
BAJA CALIFORNIA SUR      ,TODOS SANTOS   ,19.6884049,-99.2512822,1526,23840.42,23838.61,28343.5673,28646.3673,27456.77661,23741.62,28343.5673,25138.5245,25330.9245,25086.9245,25086.9245,29100.83242
ESTADO DE MEXICO         ,NAUCALPAN      ,26.0116748,-111.3828506,1527,22673.67,22673.67,21283.44,22687.84,22452.1,22430.67,21283.44,22163.5,22452.1,22208.1,22208.1,25761.396
