Estado / Canal,Ciudad,latitud,longitud,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
CHIHUAHUA                ,CD JUAREZ      ,31.7390805,-106.6298246,15,6289.91,6286.86,6286.86,6286.86,6291.43,5814.17,6286.86,15430.80969,15525.4073,14284.9273,14283.4073,16847.99927
SINALOA                  ,CULIACAN       ,24.8084179,-107.4003212,16,9449.1,9467.88,9449.1,9449.1,9449.1,8976.41,9449.1,10268.1,9392.35,7490.1,7490.1,8688.516
SINALOA                  ,CULIACAN       ,24.8062124,-107.3982179,17,6949.82,6949.82,6949.82,6169.82,6169.82,6477.13,6949.82,7049.15,5999.09,5286.97,5284.75,6132.0732
SINALOA                  ,CULIACAN       ,24.8001665,-107.3989983,18,11668.38,11666.86,11668.38,11152.96,8425.26,11194.17,11668.38,5807.51,5026.1,4549.91,4551.43,5621.3368
SINALOA                  ,CULIACAN       ,24.7942375,-107.4158336,19,12410.86,12410.86,11819.56,7960.86,7960.86,11938.17,11819.56,10254.06,10515.46,10150.86,10150.86,11774.9976
SINALOA                  ,NAVOLATO       ,24.7673792,-107.6986205,20,26315.59,26315.59,22265.59,22265.59,22265.59,25842.9,22265.59,22073.19,22265.59,22491.76,22266.76,26068.1812
SINALOA                  ,GUASAVE        ,25.563623,-108.4678648,21,23733.11,23731.59,23731.59,22962.26,22957.69,23258.9,23731.59,23449.09,10015.84,23618.77,23623.35,27644.9576
SINALOA                  ,GUAMUCHIL      ,25.4600386,-108.093663,22,38953.7645,38949.1845,38953.7645,31491.38,36227.4345,38471.9245,38953.7645,32079.8145,32470.7145,32246.2345,33233.9345,36680.36522
SONORA                   ,CD OBREGON     ,27.4794962,-109.9605164,23,31074.59,31074.59,25404.59,24364.59,24364.59,30601.9,25404.59,25019.79,24463.91,22748.59,22748.59,26624.9348
SINALOA                  ,CULIACAN       ,24.815394,-107.370934,24,9464.03,9464.03,9464.03,8425.55,8424.03,7316.61,9464.03,9032.58,7655.03,7411.03,7411.03,8152.0972
SONORA                   ,CD OBREGON     ,27.4794962,-109.9605164,25,13449.91,13449.91,13449.91,12409.91,10951.91,12977.22,13449.91,9825.11,9842.08,9364.43,9367.48,10860.9756
SINALOA                  ,CULIACAN       ,24.8002156,-107.399269,26,13738.67,13738.65,11454.45,7578.67,7578.65,13265.98,11454.45,8084.11,6466.65,6222.67,6222.65,7220.8724
SINALOA                  ,MAZATLAN       ,23.2022185,-106.4213699,27,17499.91,17499.91,17499.91,12377.51,11599.91,17027.22,17499.91,12255.11,12639.91,11358.75,9983.91,11581.3356
SINALOA                  ,LOS MOCHIS     ,29.078335,-110.9548622,28,21974.91,11569.91,21974.91,21204.06,21205.58,8201.066,21974.91,21709.18,20886.66,19950.87,19941.73,23441.8832
SONORA                   ,HERMOSILLO     ,25.7934781,-108.9965683,29,22591.43,22589.91,22589.91,20509.91,20509.91,22117.22,22589.91,17599.31,18478.48,17647.91,22483.16,13748.2156
SINALOA                  ,LOS MOCHIS     ,29.0809226,-110.961262,30,22979.4573,22979.4573,27745.9546,21679.4573,21679.4573,22506.7673,27745.9546,22498.4573,22979.4573,22735.4573,22735.4573,26373.13047
SONORA                   ,HERMOSILLO     ,23.2040897,-106.421742,31,27547.64,27550.69,27546.11,25984.59,25986.11,27071.9,27546.11,26981.11,25554.69,23684.11,23682.59,27737.7576
SINALOA                  ,MAZATLAN       ,32.6591945,-115.5013476,32,24198.59,24198.59,24198.59,23158.59,23160.11,23725.9,24198.59,23813.79,24198.59,23484.25,22748.59,26702.5968
BAJA CALIFORNIA NORTE    ,MEXICALI       ,21.9504657,-105.1442999,33,15231.98,15231.98,19998.4773,10644.98,59356.49,14759.29,19998.4773,59849.41,60138.01,58861.36,58083.49,67376.8484
NAYARIT                  ,TEPIC          ,27.9253038,-110.9018642,34,19165.81,18189.91,18191.43,16889.91,16889.91,17717.22,18191.43,17711.96,18191.43,15141.96,15065.31,17794.7596
SONORA                   ,GUAYMAS        ,24.0256984,-104.6673924,35,28736.35,28718.05,28718.05,26647.2,26639.58,28240.79,28718.05,27959.12,10683.3,25007.06,25023.82,29114.1788
DURANGO                  ,DURANGO        ,32.4836465,-114.8431866,36,27834.59,27834.59,27834.59,26796.11,25224.59,27361.9,27834.59,25024.36,25410.69,23351.59,22748.59,26626.698
SONORA                   ,SAN LUIS RIO CO,21.5159476,-104.8915279,37,23166.66,23166.66,23166.66,23166.66,23166.66,22693.97,23166.66,23821.86,24206.66,23962.66,24166.6,28033.256
NAYARIT                  ,TEPIC          ,31.3007383,-111.0834074,38,11420.06,11413.96,11169.96,11166.91,11166.91,10938.22,11169.96,12161.91,12761.97,11849.85,10924.01,13024.4452
SONORA                   ,NOGALES        ,25.5353735,-103.4667444,39,22969.59,22969.59,22969.59,22969.59,22969.59,22496.9,22969.59,23952.39,24258.24,23682.59,23682.59,27471.8044
COAHUILA                 ,TORREON        ,27.0748895,-109.5260167,40,20577.57,20565.37,20577.57,19526.9,15025.37,20091.16,20577.57,12440.57,12825.37,11811.06,14017.86451,21130.30352
SONORA                   ,NAVOJOA        ,32.6591945,-115.5013476,41,23264.59,23264.59,23264.59,22744.59,22744.59,22791.9,23264.59,22915.41,22058.59,21814.59,21819.75,25619.1568
BAJA CALIFORNIA NORTE    ,MEXICALI       ,23.2447749,-106.4211913,42,10358.55,10358.53,10114.53,10114.56,10114.53,9885.84,10114.53,10769.73,20425.6173,18952.7573,18012.0973,20894.00967
SINALOA                  ,MAZATLAN       ,30.7121757,-113.3026886,43,22529.91,22531.43,15597.74,14817.74,14817.74,22057.22,15597.74,15309.14,15597.74,14829.13,13544.74,16042.046
SONORA                   ,CABORCA        ,29.0969021,-111.044266,44,26398.59,31700.11,26398.59,26398.59,26398.59,31225.9,26398.59,27708.99,24969.13,24616.59,24616.59,28869.4768
SONORA                   ,HERMOSILLO     ,25.5489033,-103.4433482,45,14607.68,14607.68,14607.68,12796.83,12787.68,14134.99,14607.68,13934.28,13932.32,10146.43,10142.68,11765.5088
DURANGO                  ,GOMEZ PALACIO  ,27.4784161,-109.9389242,46,23110.89,23083.45,23074.3,21783.45,21024.14,22577.22,23074.3,17750.07,18250.89,17114.24,15177.53,17729.4748
SONORA                   ,CD OBREGON     ,25.4346263,-101.0065264,47,16593.5,16591.98,10111.98,9591.98,9591.98,16119.29,10111.98,9919.58,8978.34,8661.98,8661.98,10047.8968
COAHUILA                 ,SALTILLO       ,23.1849325,-102.8925896,48,22727.8345,22727.8345,22732.4045,16306.98,22730.8845,22255.1445,22732.4045,23713.6845,24287.8345,24045.3545,24052.9845,27908.52642
ZACATECAS                ,FRESNILLO      ,28.6920687,-106.26086,49,23644.16,23642.63,22022.63,21507.21,21501.11,23168.42,22022.63,21839.38,22022.63,20655.53,20571.11,23864.2508
CHIHUAHUA                ,CHIHUAHUA      ,21.8841569,-102.314442,50,30539.0889,30539.0889,30539.0889,20690.98,28720.6089,30066.3989,30539.0889,29865.6889,17178.0389,30714.7089,29074.5489,33726.47672
AGUASCALIENTES           ,AGUASCALIENTES ,20.6128221,-105.4039365,51,24309.91,24309.91,24309.91,22229.91,22229.91,23837.22,24309.91,23540.31,22844.62,22256.91,22256.91,25818.0156
JALISCO                  ,PTO VALLARTA   ,26.9018844,-101.4184523,52,27172.59,27172.59,23195.59,23195.59,23195.59,26699.9,23195.59,23279.19,23278.63,20454.91,20228.39,26542.9344
COAHUILA                 ,MONCLOVA       ,21.359994,-102.0065275,53,26793.55,26776.79,26796.6,26044.04,25580.82,26291.9,26796.6,24081.05,24360.5,23582.75,22283.11,25871.3988
JALISCO                  ,LAGOS DE MORENO,19.6836306,-101.2475639,54,39643.68,39645.2,38461.08,37503.68,38839.34,25954.14,38461.08,39166.94,25287.75,39245,39245,60076.71
MICHOACAN                ,MORELIA        ,22.1559505,-100.9970003,55,28304.96,28304.96,29049.9389,23021.91,28425.2145,27832.27,29049.9389,27507.2145,27132.5145,26345.8145,26345.8145,30561.14482
SAN LUIS POTOSI          ,SAN LUIS POTOSI,21.8077761,-105.2074977,56,25376.98,25376.98,25376.98,21406.38,19996.98,24904.29,25376.98,20324.58,20516.98,19151.4,19068.5,22121.2348
NAYARIT                  ,SANTIAGO IXCUIN,27.926474,-111.0639882,57,21194.91,21194.91,21194.91,21194.91,21194.91,20722.22,21194.91,21724.42,21991.68,21778.17,21787.31,25456.8032
SONORA                   ,GUAYMAS        ,28.6114348,-106.1667719,58,18825.43,18823.91,18823.91,18303.91,18305.43,18351.22,18823.91,9193.55,9297.31,9051.43,9057.53,10769.6372
CHIHUAHUA                ,CHIHUAHUA      ,28.1824478,-105.5315994,59,12541.98,12541.98,12541.98,9591.98,9591.98,12069.29,12541.98,9919.58,10111.98,9482.06,8661.98,10047.8968
CHIHUAHUA                ,DELICIAS       ,21.8912162,-102.356925,60,24986.66,24986.66,24986.66,23166.66,23166.66,24513.97,24986.66,24313.26,24986.66,24742.66,24742.66,28701.4856
AGUASCALIENTES           ,AGUASCALIENTES ,20.275764,-102.6309836,61,12929.91,12929.91,11957.91,9979.91,9979.91,12457.22,11957.91,10309.03,9572.81,9049.91,9740.23,11046.9004
JALISCO                  ,LA BARCA       ,25.4245698,-101.0048727,62,24465.59,24465.59,24221.59,24221.59,24221.59,23749.9,24221.59,23011.8,23618.59,23374.59,23374.59,27380.6168
COAHUILA                 ,SALTILLO       ,19.2438822,-103.7396366,63,20677.32,20677.32,21514.2529,16638.64,18999.4645,20230.38,21514.2529,14150.2145,14535.0145,11879.0145,11879.0145,14016.22722
COLIMA                   ,COLIMA         ,19.9864366,-102.3645506,64,4697.17,4697.17,4697.17,4437.17,4437.17,4454.17,4697.17,4600.97,4250.95,3850.17,3850.17,4702.7676
MICHOACAN                ,ZAMORA         ,21.8830642,-102.3096457,65,24334.59,24334.59,24334.59,23557.64,23554.59,23861.9,24334.59,25835.34,26122.42,25878.42,25648.73,30255.5376
AGUASCALIENTES           ,AGUASCALIENTES ,31.7160113,-106.5862226,66,26848.9,26848.9,25876.9,23898.9,25234.56,26376.21,25876.9,24356.16,24548.56,24304.56,24074.87,28193.2896
CHIHUAHUA                ,CD JUAREZ      ,25.5341459,-103.4078261,67,4902.98,4901.45,5631.93,5633.45,5634.98,4427.24,5631.93,5063.73,4846.37,4366.93,3462.24,4542.3164
COAHUILA                 ,TORREON        ,21.1157795,-101.7235249,68,15030.64,15029.12,15026.07,14509.12,23777.1373,14550.33,15026.07,24101.6873,24294.0873,23614.4073,22612.8773,26770.94087
GUANAJUATO               ,LEON           ,20.5881925,-100.3939328,69,14541.79,14541.77,14089.6,14089.62,27306.45,13584.23,14089.6,27017.87,27306.45,27514.64,27284.93,31916.9824
QUERETARO                ,QUERETARO      ,20.5199303,-100.828029,70,32449.83,32452.88,31997.66,30605.03,27457.66,31977.14,31997.66,28276.66,28757.66,27778,27077.97,31676.8856
GUANAJUATO               ,CELAYA         ,24.0207202,-104.6682781,71,22362.74,22362.74,22816.43,22816.43,22814.91,21890.05,22816.43,21718.32,21706.81,19923.43,19691.22,23117.0948
DURANGO                  ,DURANGO        ,28.6920687,-106.26086,72,14098.62,14098.62,15694.69357,9979.91,16403.8145,13625.93,15694.69357,16731.4145,16923.8145,15727.0745,15244.1245,18186.19522
CHIHUAHUA                ,CHIHUAHUA      ,31.3007383,-111.0834074,73,24496.66,24496.66,24496.66,23928.06,22356.66,24023.97,24496.66,22690.36,22876.66,22198.5,21196.97,25121.366
SONORA                   ,NOGALES        ,19.289432,-99.6719341,74,10250.8,10250.8,10250.8,10250.8,10250.8,9778.11,10250.8,10578.4,9757.76,9320.8,9092.63,10812.128
ESTADO DE MEXICO         ,TOLUCA         ,19.2402966,-103.7234002,75,29816.47,29764.61,30651.8829,23141.19,24898.6145,29343.78,30651.8829,24610.0145,11681.7645,25990.2745,25760.5845,30148.71842
COLIMA                   ,COLIMA         ,27.9631468,-110.8253339,76,13709.91,13709.91,13709.91,12409.91,12409.91,13237.22,13709.91,13228.91,11388.36,10450.91,10221.22,12359.626
SONORA                   ,EMPALME        ,26.824808,-109.6581481,77,23264.59,23264.59,23264.59,22744.59,22744.59,22791.9,23264.59,23072.19,10047.74,24356.25,24126.56,28549.5604
SONORA                   ,HUATABAMPO     ,31.7160113,-106.5862226,78,25217.47,25180.88,26167.55,25366.21,25360.11,24689.9,26167.55,24385.56,23355.11,23198.36,22051.9,26125.6592
CHIHUAHUA                ,CD JUAREZ      ,19.4151414,-102.1260422,79,5489.06,5478.38,5481.43,5482.96,5489.06,5004.17,5481.43,5819.7,5344.23,4560.58,4522.98,5556.8988
MICHOACAN                ,URUAPAN        ,19.6988884,-101.2066411,80,31187.6145,31187.6145,31187.6145,23983.71,30407.6145,30714.9245,31187.6145,30899.0145,30138.3945,29134.6145,29108.8645,34043.33722
MICHOACAN                ,MORELIA        ,19.059275,-98.2503802,81,15661.98,15661.98,15663.5,14889.6,14888.08,15189.29,15663.5,15379.48,14614.28,13608.98,13379.29,15798.794
PUEBLA                   ,PUEBLA         ,19.059275,-98.2503802,82,16686.43,16686.43,16686.43,15906.43,10401.98,16213.74,16686.43,10893.38,11385.92,11563.8,9103.23,11681.7104
PUEBLA                   ,PUEBLA         ,19.0468509,-98.2130413,83,13555.92,13555.92,13555.92,10735.52,9795.92,13083.23,13555.92,10123.52,10002.36,8865.92,8840.17,10521.0376
PUEBLA                   ,PUEBLA         ,22.2145285,-97.856841,84,13351.98,13351.98,13351.98,10337.18,9591.98,12879.29,13351.98,9919.58,9689.88,8661.98,8432.29,10047.8968
TAMAULIPAS               ,TAMPICO        ,32.5322785,-117.0688524,85,15661.98,15663.5,15672.65,14881.98,14881.98,15189.29,15672.65,15373.38,15665.03,13807.97,13583.23,16028.2884
BAJA CALIFORNIA NORTE    ,TIJUANA        ,32.5007634,-116.9946518,86,9402.98,9402.98,9402.98,9402.98,9402.98,8930.29,9402.98,10058.18,10442.98,10024.11,9366.29,11133.1
BAJA CALIFORNIA NORTE    ,TIJUANA        ,31.8705011,-116.6255298,87,22876.66,22876.66,22876.66,22356.66,22356.66,22403.97,22876.66,24062.71,10003.78,24312.29,24082.6,32901.2772
BAJA CALIFORNIA NORTE    ,ENSENADA       ,18.8922885,-96.9424509,88,23999.23,23994.66,24975.23,24162.18,24160.66,23521.97,24975.23,23857.75,23349.15,22670.63,21540.94,25253.9308
VERACRUZ                 ,CORDOBA        ,24.0899545,-110.4925263,89,23554.59,23554.59,23554.59,23554.59,23554.59,23081.9,23554.59,24045.99,24334.59,24090.59,23860.9,28178.082
BAJA CALIFORNIA SUR      ,LA PAZ         ,28.3993015,-107.1156945,90,27736.66,27736.66,27736.66,27216.66,27216.66,27263.97,27736.66,22480.76,21670.66,21426.66,21467.86,25169.158
CHIHUAHUA                ,CD CUAHTEMOC   ,23.2227444,-106.4205912,91,26525.7445,29227.6945,26525.7545,19382.5,26050.4245,26867.8545,26525.7545,26134.0045,13109.5745,26344.7245,25982.3945,30405.99482
SINALOA                  ,MAZATLAN       ,20.6736532,-103.3598761,92,15511.23,15559.81,13939.81,13939.83,13939.81,15087.14,13939.81,13555.03,13939.81,13695.83,13466.12,15887.1628
JALISCO                  ,GUADALAJARA    ,20.6884005,-103.4730702,93,18049.91,18049.91,26705.31,21194.91,21194.91,27982.22,26705.31,21686.31,20581.98,19921.91,19691.22,23111.6544
JALISCO                  ,ZAPOPAN        ,20.6713355,-103.4680114,94,21724.85,21724.5,21722.98,21202.98,21202.98,21250.29,21722.98,21530.58,19624.54,19066.98,19041.23,22354.2672
JALISCO                  ,GUADALAJARA    ,20.2568828,-102.8153801,95,10499.91,10499.91,10499.91,9982.96,9981.43,10027.22,10499.91,10315.13,10506.01,9788.62,8820.22,10508.9156
GUANAJUATO               ,IRAPUATO       ,20.721235,-103.3256139,96,25954.59,12737.74,25954.59,25174.59,25174.59,12265.05,25954.59,24045.99,10593.13,23617.25,23591.5,27632.5804
JALISCO                  ,GUADALAJARA    ,25.7499223,-100.3783212,97,14161.98,14161.98,10111.98,9591.98,9591.98,13689.29,10111.98,10608.39,9715.37,9350.79,9121.08,10846.9164
NUEVO LEON               ,SN NICOLAS DE L,25.6721287,-100.4722763,98,9982.96,9982.96,9987.53,9999.73,9999.73,9507.22,9987.53,10312.08,10522.78,9924.46,8820.22,10543.8664
NUEVO LEON               ,SANTA CATARINA ,25.7822035,-100.3068924,99,22744.59,22744.59,22744.59,22744.59,22744.59,22271.9,22744.59,24407.85,24807.24,23958.71,23124.5,27092.6236
NUEVO LEON               ,APODACA        ,32.6215253,-115.5443394,100,13190.69,13190.69,14786.76357,9591.98,16015.8845,12718,14786.76357,16687.4545,16879.8545,16117.2745,15409.1345,18141.03642
BAJA CALIFORNIA NORTE    ,MEXICALI       ,22.2860167,-97.8719665,101,16321.95,16320.43,16808.43,16808.43,16811.48,15847.74,16808.43,10400.17,9663.95,9455.95,8776.26,10446.902
TAMAULIPAS               ,TAMPICO        ,22.7753391,-102.5784018,102,10499.91,10499.91,10499.91,9979.91,9979.91,10027.22,10499.91,10307.51,10499.91,9652.91,9024.16,10745.08
ZACATECAS                ,ZACATECAS      ,20.6161484,-100.4057029,103,33096.11,33094.59,33094.59,31276.11,31274.59,32621.9,33094.59,32421.19,31617.24,28629.59,28399.9,33210.3244
QUERETARO                ,QUERETARO      ,25.3918383,-101.0033144,104,12929.91,12929.91,11476.91,12337.01,9979.91,12457.22,11476.91,10315.13,10501.43,9790.14,8820.22,10497.8956
COAHUILA                 ,SALTILLO       ,25.5537148,-103.506875,105,17093.85,17093.85,15643.9,17093.85,16633.67,16621.16,15643.9,15002.12,15159.87,13736.9,13504.16,15940.1052
DURANGO                  ,GOMEZ PALACIO  ,32.4955995,-116.9696665,106,17759.91,17759.91,16306.91,16721.43,18752.17,17287.22,16306.91,12255.11,12639.91,11455.23,9958.16,11817.906
BAJA CALIFORNIA NORTE    ,TIJUANA        ,32.5133536,-116.8775985,107,15691.98,15691.98,14238.98,14849.58,14071.98,15219.29,14238.98,14399.58,14593.5,14347.98,14322.23,16880.2272
BAJA CALIFORNIA NORTE    ,TIJUANA        ,32.4937657,-116.9548981,108,15717.43,15717.43,14996.43,16449.43,16449.43,15244.74,14996.43,10540.58,10732.98,10108.82,8432.29,10047.8968
BAJA CALIFORNIA NORTE    ,TIJUANA        ,21.1009229,-101.7053699,109,9591.98,9591.98,7894.98,9347.98,9347.98,9119.29,7894.98,9675.58,9867.98,9867.98,9848.33,11699.3424
GUANAJUATO               ,LEON           ,31.6535313,-106.4865235,110,16019.91,16019.91,14566.91,14459.91,14459.91,15547.22,14566.91,15442.71,14850.09,14569.91,14544.16,17148.28
CHIHUAHUA                ,CD JUAREZ      ,32.4937657,-116.9548981,111,18693.71,33833.51,43093.952,20470.65,35023.16,33505.02,43093.952,35514.56,35803.16,35559.16,35533.41,41485.196
BAJA CALIFORNIA NORTE    ,TIJUANA        ,25.672379,-100.2843715,112,19631.0389,19631.0389,18178.0389,11602.93,34183.5489,19158.3489,18178.0389,35166.3489,35743.5489,35499.5489,35404.2589,41195.39192
NUEVO LEON               ,GUADALUPE      ,25.6786427,-100.5389519,113,22436.13,22426.98,20973.98,22357.13,20006.13,21954.29,20973.98,20336.78,20523.08,19769.64,18837.29,22126.536
NUEVO LEON               ,SANTA CATARINA ,32.58535,-115.5212989,114,6867.17,6867.17,5414.17,6024.77,5247.17,6624.17,5414.17,5574.77,5767.17,4570.43,4317.17,5007.9172
BAJA CALIFORNIA NORTE    ,MEXICALI       ,22.8348032,-105.7764866,115,23019.1445,23019.1245,21566.1245,16595.25,23019.1245,23440.0345,21566.1245,17336.7445,16485.6945,16241.6745,16012.0045,18840.34242
SINALOA                  ,ESCUINAPA      ,31.6535313,-106.4865235,116,23678.59,23678.59,20605.59,22058.59,22058.59,23205.9,20605.59,21866.19,22058.59,21814.59,21860.36,25620.92
CHIHUAHUA                ,CD JUAREZ      ,25.6710138,-100.36248,117,5709.93,5709.93,4988.93,6441.93,6441.93,5237.24,4988.93,6039.05,5533.5,4835.45,4133.18,5071.5432
NUEVO LEON               ,MONTERREY      ,19.2884903,-98.4256417,118,13999.91,10499.91,9046.91,9979.91,9979.91,10027.22,9046.91,10307.51,10499.91,9606.19,9024.16,10734.466
PUEBLA                   ,SN MARTIN TEXME,31.8660342,-116.6408855,119,24568.53,24568.53,22337.53,22980.74,22969.5,24095.84,22337.53,23276.13,23311.75,22018.53,21791.06,25541.4948
BAJA CALIFORNIA NORTE    ,ENSENADA       ,21.0925207,-101.6660111,120,28018.59,28018.59,26567.11,24900.09,23968.59,27545.9,26567.11,26123.25,25609.3,24552.77,24321.56,28481.2132
GUANAJUATO               ,LEON           ,21.1157795,-101.7235249,121,11569.91,11571.43,10116.91,10791.43,10791.43,11097.22,10116.91,11281.31,11569.91,11325.91,11096.22,13138.0556
GUANAJUATO               ,LEON           ,21.9842363,-99.0255378,122,12059.6,26056.25,24603.25,25276.25,25276.25,25093.87,24603.25,25767.65,24247.25,24003.25,23570.21,28175.9244
SAN LUIS POTOSI          ,CD VALLES      ,25.7167657,-100.3838361,123,30432.6945,30430.8845,27739.3445,21468.44,27892.3445,30104.2045,27739.3445,28711.3445,29192.3445,27139.3445,26306.6545,30782.15962
NUEVO LEON               ,MONTERREY      ,25.7783855,-100.391447,124,10499.91,10499.91,9046.91,9979.91,9979.91,10027.22,9046.91,10307.51,10499.91,10255.91,10026.22,11896.8556
NUEVO LEON               ,GENERAL ESCOBED,25.6703114,-100.3842003,125,17604.7645,17604.7645,16151.7645,11156.56,31347.2745,17132.0745,16151.7645,32002.4745,32387.2745,31323.1945,30707.5845,35887.23842
NUEVO LEON               ,MONTERREY      ,25.7228462,-100.2920882,126,28251.1062,28249.5862,26796.5862,26188.4773,27469.5862,27776.8962,26796.5862,27962.5062,28252.6362,26525.2562,26175.4062,30631.68639
NUEVO LEON               ,GUADALUPE      ,25.7784841,-100.5320263,127,12409.91,12409.91,10958.43,12337.01,9981.43,11937.22,10958.43,10307.51,10499.91,9435.83,8820.22,10497.8956
NUEVO LEON               ,GENERAL ESCOBED,27.0748895,-109.5260167,128,14591.98,14591.98,13138.98,14071.98,14071.98,14119.29,13138.98,14399.58,14591.98,13660.56,12912.29,15244.6968
SONORA                   ,NAVOJOA        ,17.9886867,-92.9640861,129,19311.6545,19311.6545,17858.6545,11854.08,18273.5245,18838.9645,17858.6545,18444.4545,16899.6545,16655.6545,16425.9645,19320.55922
TABASCO                  ,VILLAHERMOSA   ,26.0551305,-98.2941281,130,12409.91,12409.91,10956.91,11146.31,9169.91,11937.22,10956.91,9333.71,9429.91,9185.91,8956.22,10655.6556
TAMAULIPAS               ,REYNOSA        ,26.0754729,-98.3149854,131,20474.85,20474.85,19021.85,19694.85,19694.85,20002.16,19021.85,15965.25,16253.85,16009.85,15780.16,18571.426
TAMAULIPAS               ,REYNOSA        ,27.4481768,-99.5182415,132,20904.91,20904.91,19451.91,20384.91,20384.91,20432.22,19451.91,19952.73,19698.91,19454.91,19225.22,22567.6956
TAMAULIPAS               ,NUEVO LAREDO   ,27.4617038,-99.5108032,133,9591.98,9591.98,8138.98,9591.98,9591.98,9119.29,8138.98,9437.18,8905.98,8661.98,8432.29,10047.8968
TAMAULIPAS               ,NUEVO LAREDO   ,18.4609841,-97.4045699,134,21176.6682,21176.6682,19723.6682,15881.86,21176.6682,20703.9782,19723.6682,20660.0682,20490.6682,20246.6682,20220.9182,23722.70551
PUEBLA                   ,TEHUACAN       ,25.5353735,-103.4667444,135,23554.59,24916.91,22101.59,23554.59,23003.79,25393.84,22101.59,23072.19,22337.49,21819.16,21788.84,25546.796
COAHUILA                 ,TORREON        ,25.5073982,-103.4061242,136,15282.15,15282.15,13829.15,14762.15,14016.95,13092.85,13829.15,11852.8,12042.15,11363.99,10362.46,12286.894
COAHUILA                 ,TORREON        ,24.0440415,-104.6302604,137,10499.91,10499.91,9046.91,9979.91,9979.91,10027.22,9046.91,10307.51,10499.91,9737.33,8820.22,10497.8956
DURANGO                  ,DURANGO        ,20.7057237,-103.5505477,138,16599.91,16599.91,14694.74,15627.74,28844.59,16127.22,14694.74,27553.71,27744.59,27952.76,28061.41,32664.3472
JALISCO                  ,ZAPOPAN        ,27.4794962,-109.9605164,139,19463.97,19463.97,17314.37,17323.97,17323.97,18991.28,17314.37,17651.57,17456.04,17212.04,16982.35,21275.6644
SONORA                   ,CD OBREGON     ,18.9253034,-99.2382918,140,27314.59,27314.59,21811.59,22744.59,22744.59,26841.9,21811.59,23072.19,22179.19,21814.59,21855.79,25619.1568
MORELOS                  ,CUERNAVACA     ,17.9794227,-102.2749134,141,24152.77,24150.96,28655.9173,23578.05,23270.25,23824.28,28655.9173,23313.45,22927.25,22683.25,22453.56,26312.57
MICHOACAN                ,LAZARO CARDENAS,25.6706311,-100.4123043,142,30211.59,30211.59,28758.59,28394.79,22951.59,29738.9,28758.59,23442.99,22995.93,22281.59,22255.84,26085.79
NUEVO LEON               ,MONTERREY      ,25.6778184,-100.2434167,143,22526.22,17626.51,10668.22,11341.22,11341.22,17153.82,10668.22,11832.62,12121.22,21329.48,20846.53,24451.9532
NUEVO LEON               ,GUADALUPE      ,25.672379,-100.2843715,144,21616.98,21616.98,20163.98,21568.38,19996.98,21144.29,20163.98,20324.58,20516.98,19199.64,18837.29,22117.6968
NUEVO LEON               ,GUADALUPE      ,18.8481242,-97.1197677,145,10791.78,10789.91,9336.91,10166.21,9979.91,10317.22,9336.91,10307.51,10499.91,9182.57,9024.16,10734.466
VERACRUZ                 ,ORIZABA        ,25.7169413,-100.2619886,146,25174.59,25174.59,23721.59,25174.59,25174.59,24701.9,23721.59,25019.79,24849.83,22748.59,22722.84,26624.9348
NUEVO LEON               ,GUADALUPE      ,19.0000057,-98.3519445,147,10111.98,10116.55,8658.98,9591.98,9591.98,9639.29,8658.98,9919.58,10111.98,8746.4,8703.18,10362.1292
PUEBLA                   ,PUEBLA         ,28.7378609,-106.4124024,148,15502.98,15502.98,14049.98,15502.98,15162.78,15030.29,14049.98,15511.98,15854.29,14746.92,14517.23,17106.4272
CHIHUAHUA                ,CHIHUAHUA      ,21.49643,-104.8838754,149,22825.77,22825.75,21372.75,20734.37,20685.75,22353.08,21372.75,21013.37,21205.75,20527.61,19526.06,10846.9164
NAYARIT                  ,TEPIC          ,31.6535313,-106.4865235,150,23554.59,23554.59,22870.19247,19503.71,25927.6145,23081.9,22870.19247,26622.9545,26911.5545,25509.7945,24628.8645,28835.92322
CHIHUAHUA                ,CD JUAREZ      ,17.9850992,-94.5468344,151,5916.93,5916.93,5439.93,6892.93,6892.93,5444.24,5439.93,6042.56,5230.93,5262.87,4133.18,5060.9292
VERACRUZ                 ,MINATITLAN     ,20.6690622,-103.4510494,152,33959.59,33959.59,32506.59,33959.59,33959.59,33486.9,32506.59,35786.65,36075.25,34221.24,33792.56,39465.81
JALISCO                  ,GUADALAJARA    ,23.0657756,-109.7212176,153,29363.62,29363.62,28680.74247,21342.14,22305.7645,28890.93,28680.74247,22837.3045,22995.0445,21579.7045,21350.0145,25032.45722
BAJA CALIFORNIA SUR      ,SAN JOSE DEL CA,18.9117358,-103.8726525,154,26116.66,26116.66,23367.66,22356.66,22356.66,25643.97,23367.66,22918.97,8724.7,23033.21,22803.52,26718.5236
COLIMA                   ,TECOMAN        ,20.5972326,-104.1119015,155,26903.58,26903.58,23951.59,24364.59,24364.59,26430.89,23951.59,23125.29,9979.68,24288.19,24058.5,28174.3004
JALISCO                  ,AMECA          ,25.7140671,-100.4626265,156,25104.2,25034.4,23551.51,24283.03,24276.92,24550.71,23551.51,24766.81,12283.09,26588.57,26337.52,30858.6564
